company,date,source,label,case_type,mentions,title,claim,has_metric,score,rank,url,file
IBM,2026-07,keyword,DX,자사/일반,,"AI isn’t digital transformation, and leaders need to understand why","예를 들어, 개발 중인 AI 에이전트가 업무 의 60%를 처리할 수 있다면 굳이 사람을 채용할 필요가 없다는 거죠 .",Y,4,1,https://www.youtube.com/watch?v=eZ1NizUx9U4,"transcripts/2026-07-21/AI_isn’t_digital_transformation,_and_leaders_need_to_underst__eZ1NizUx9U4.md"
IBM,2026-07,keyword,DX,자사/일반,,"AI isn’t digital transformation, and leaders need to understand why","채드 GBD는 2022년 말에 나왔는데, 제가 이걸 발견하고는 ""이게 도대체 뭐지?"" 하면서 아주 깊은 수렁에 빠져들었어요.",Y,3,2,https://www.youtube.com/watch?v=eZ1NizUx9U4,"transcripts/2026-07-21/AI_isn’t_digital_transformation,_and_leaders_need_to_underst__eZ1NizUx9U4.md"
IBM,2026-07,keyword,DX,자사/일반,,"AI isn’t digital transformation, and leaders need to understand why",우리가 이 여정을 시작한 지 거의 3 년이 지났는데도 여전히 도입률이 매우 낮다는 사실에 제가 틀렸다고 생각할 수도 있습니다.,Y,3,3,https://www.youtube.com/watch?v=eZ1NizUx9U4,"transcripts/2026-07-21/AI_isn’t_digital_transformation,_and_leaders_need_to_underst__eZ1NizUx9U4.md"
티타임즈TV,2026-07,keyword,AX,자사/일반,,"AI 도입, 도입만 하면 끝일까? (김유신 상무)","그것을 이제 머추 단계, 그 머추어링 단계로 들어가서 우리가 회사 전체 AI를 적용하고 AI에 의한 어떤 회사 운영이나 여러 가지를 하려고 그러면 이런 이제 ML스에 관한 부분들도 고민을 하셔야 되고 ML스 시스템을 적용을 하게 되면 AI 운영 관리 비용이 한 30에서 40% 정도 절감됐다라는 사례도 있고요.",Y,4,1,https://www.youtube.com/watch?v=GiFlOiikYso,"transcripts/2026-07-21/AI_도입,_도입만_하면_끝일까_(김유신_상무)__GiFlOiikYso.md"
티타임즈TV,2026-07,keyword,AX,자사/일반,,"AI 도입, 도입만 하면 끝일까? (김유신 상무)",그다음 신규 AI 개발 기관들을 50% 정도 단축했다라는 사례들도 있습니다.,Y,4,2,https://www.youtube.com/watch?v=GiFlOiikYso,"transcripts/2026-07-21/AI_도입,_도입만_하면_끝일까_(김유신_상무)__GiFlOiikYso.md"
티타임즈TV,2026-07,keyword,AX,자사/일반,,"AI 도입, 도입만 하면 끝일까? (김유신 상무)",1단계 2단계 그리고 머링 이제 성숙돼 가지고 AI를 잘 활용하고 있는 단계가 한 48% 정도였습니다.,Y,3,3,https://www.youtube.com/watch?v=GiFlOiikYso,"transcripts/2026-07-21/AI_도입,_도입만_하면_끝일까_(김유신_상무)__GiFlOiikYso.md"
유일한 기업전략,2026-07,keyword,AX,자사/일반,,AI 도입 지원금 2억 원? AX 지원사업 핵심만 정리했습니다,"주변에 있는 어떤 대표님은 AI 도입을 통해서 인건비를 5천만 원, 1억, 2억을 줄였다더라.",Y,4,1,https://www.youtube.com/watch?v=8gDnDY1cTtY,transcripts/2026-07-21/AI_도입_지원금_2억_원_AX_지원사업_핵심만_정리했습니다__8gDnDY1cTtY.md
유일한 기업전략,2026-07,keyword,AX,자사/일반,,AI 도입 지원금 2억 원? AX 지원사업 핵심만 정리했습니다,"그런데 보물가 고임금 시대의 AI를 도입하는 기업들에게 정부에서 AX라고 하는 형태, 즉 AI 전환 트랜스포메이션에 대해서 정부에서 80%를 지원을 해 주고요.",Y,4,2,https://www.youtube.com/watch?v=8gDnDY1cTtY,transcripts/2026-07-21/AI_도입_지원금_2억_원_AX_지원사업_핵심만_정리했습니다__8gDnDY1cTtY.md
유일한 기업전략,2026-07,keyword,AX,자사/일반,,AI 도입 지원금 2억 원? AX 지원사업 핵심만 정리했습니다,"컨설팅, 맞춤면 개발, 인프라이 세 가지에 대해서 지원을 받기 위해서 2억원 규모의 통합 지원을 받는 형식이라고 보시면 됩니다.",Y,3,3,https://www.youtube.com/watch?v=8gDnDY1cTtY,transcripts/2026-07-21/AI_도입_지원금_2억_원_AX_지원사업_핵심만_정리했습니다__8gDnDY1cTtY.md
First Class Insight — Curated the World's best,2026-07,keyword,AX,자사/일반,,AI 도입한 기업 90%가 사실상 돈만 날리고 있는 이유 (맥킨지 보고서) (The state of AI in 2025 by Mckinsey Insights Nov. 2025),62%가 넘는 기업들이 어 이거 괜찮은데 하면서 실험은 하고 있는데 정작 이걸 비즈니스에 본격적으로 적용하는 곳은 23%밖에 안 된다는 거죠.,Y,3,1,https://www.youtube.com/watch?v=dyfhWRT2xxU,transcripts/2026-07-21/AI_도입한_기업_90%가_사실상_돈만_날리고_있는_이유_(맥킨지_보고서)_(The_state_of_AI_i__dyfhWRT2xxU.md
Asian Productivity Organization,2026-07,keyword,AX,자사/일반,,APO GAIA Podcast | Korea’s AI Policy and Manufacturing AX with MOTIR,"이러한 AI 혁신 생태계를 구축하는 데 있어 핵심적인 우선순위는 민간 부문이 AI 혁신을 주도하도록 하는 것이며, 한국 정부는 시장 의 주요 주체가 되기를 원하지 않습니다 .",N,2,1,https://www.youtube.com/watch?v=LogtwSzSdWw,transcripts/2026-07-21/APO_GAIA_Podcast_Korea’s_AI_Policy_and_Manufacturing_AX_with__LogtwSzSdWw.md
Asian Productivity Organization,2026-07,keyword,AX,자사/일반,,APO GAIA Podcast | Korea’s AI Policy and Manufacturing AX with MOTIR,두 번째 핵심 과제는 국가 차원의 AI 전환입니다.,N,2,2,https://www.youtube.com/watch?v=LogtwSzSdWw,transcripts/2026-07-21/APO_GAIA_Podcast_Korea’s_AI_Policy_and_Manufacturing_AX_with__LogtwSzSdWw.md
Asian Productivity Organization,2026-07,keyword,AX,자사/일반,,APO GAIA Podcast | Korea’s AI Policy and Manufacturing AX with MOTIR,그래서 산업통상 자원부는 산업 전체를 인공지능으로 전환하려고 노력하고 있습니다.,N,2,3,https://www.youtube.com/watch?v=LogtwSzSdWw,transcripts/2026-07-21/APO_GAIA_Podcast_Korea’s_AI_Policy_and_Manufacturing_AX_with__LogtwSzSdWw.md
TFiR,2026-07,keyword,AX,자사/일반,,"Enterprise Adoption is the Biggest Bottleneck for AI Agents | Randy Bias, Mirantis","사람들이 ""음 , AI 에이전트가 와서 모든 걸 자동화해 줄 수 있겠네.""라고 생각하거든요.",N,2,1,https://www.youtube.com/watch?v=Tksn76E7f_U,transcripts/2026-07-21/Enterprise_Adoption_is_the_Biggest_Bottleneck_for_AI_Agents___Tksn76E7f_U.md
TFiR,2026-07,keyword,AX,자사/일반,,"Enterprise Adoption is the Biggest Bottleneck for AI Agents | Randy Bias, Mirantis",그러므로 이는 AI 에이전트를 이용한 자동화 그 자체를 위한 자동화가 아닙니다 .,N,2,2,https://www.youtube.com/watch?v=Tksn76E7f_U,transcripts/2026-07-21/Enterprise_Adoption_is_the_Biggest_Bottleneck_for_AI_Agents___Tksn76E7f_U.md
TFiR,2026-07,keyword,AX,자사/일반,,"Enterprise Adoption is the Biggest Bottleneck for AI Agents | Randy Bias, Mirantis","현장에 들어가 사업을 살펴보고, 자신의 포트폴리오를 분석하면서 "" 이곳은 에이전트를 활용해 직접적인 사업 효과를 낼 수 있는 곳이고, 이곳도 마찬가지다 ""라고 말하는 것입니다.",N,2,3,https://www.youtube.com/watch?v=Tksn76E7f_U,transcripts/2026-07-21/Enterprise_Adoption_is_the_Biggest_Bottleneck_for_AI_Agents___Tksn76E7f_U.md
Vertesia,2026-07,keyword,AX,협력/고객사 언급,Oracle; SAP,Enterprise strategies for agentic AI adoption in 2026 and beyond,"Um and I think you know we speak to a lot of organizations where they've started down a particular uh route and because of the newness of the technology and the fact that it isn't you know well you know an ERP implementation something like an SAP or an Oracle financials there's probably 15 20 30,000 uh you know implementations that people have worked on on experience that simply isn't the case wit…",Y,3,1,https://www.youtube.com/watch?v=B4WgQotMVmE,transcripts/2026-07-21/Enterprise_strategies_for_agentic_AI_adoption_in_2026_and_be__B4WgQotMVmE.md
Vertesia,2026-07,keyword,AX,자사/일반,,Enterprise strategies for agentic AI adoption in 2026 and beyond,Hello to all our viewers around the world to this webinar brought to you by Fintech Futures and Fatizia titled Enterprise Strategies for Aentic AI adoption in 2026 and beyond.,N,2,2,https://www.youtube.com/watch?v=B4WgQotMVmE,transcripts/2026-07-21/Enterprise_strategies_for_agentic_AI_adoption_in_2026_and_be__B4WgQotMVmE.md
Vertesia,2026-07,keyword,AX,자사/일반,,Enterprise strategies for agentic AI adoption in 2026 and beyond,"So just a quick intro, it's clear that one of the most transformative shifts happening in financial services right now is the evolution of AI behind basic chat interactions and simple automation to the emergence of sophisticated autonomous decision-making agents.",N,2,3,https://www.youtube.com/watch?v=B4WgQotMVmE,transcripts/2026-07-21/Enterprise_strategies_for_agentic_AI_adoption_in_2026_and_be__B4WgQotMVmE.md
Microsoft Developer,2026-07,keyword,AX,자사/일반,,From UX to AX: Why Agent Experience is the Next Frontier in Business AI,우리는 사용자 경험의 시대에서 에이전트 기반 경험의 시대로 전환하고 있습니다.,N,2,1,https://www.youtube.com/watch?v=VC6nM0t-bUw,transcripts/2026-07-21/From_UX_to_AX_Why_Agent_Experience_is_the_Next_Frontier_in_B__VC6nM0t-bUw.md
일해방 and 세바시 강연 Sebasi Talk,2026-07,keyword,AX,자사/일반,,"If You Don’t Know This One Thing, Most AI Transformations Fail | Cho Young-min | AI Agent",8시간 업무 중에서 1한시간 정도 단축이 되려나?,Y,3,1,https://www.youtube.com/watch?v=FRhf2cym5ss,"transcripts/2026-07-21/If_You_Don’t_Know_This_One_Thing,_Most_AI_Transformations_Fa__FRhf2cym5ss.md"
일해방 and 세바시 강연 Sebasi Talk,2026-07,keyword,AX,자사/일반,,"If You Don’t Know This One Thing, Most AI Transformations Fail | Cho Young-min | AI Agent",아니면 이거는 8시간 업무 중에서 1한시간 정도 단축이 되려나?,Y,3,2,https://www.youtube.com/watch?v=FRhf2cym5ss,"transcripts/2026-07-21/If_You_Don’t_Know_This_One_Thing,_Most_AI_Transformations_Fa__FRhf2cym5ss.md"
일해방 and 세바시 강연 Sebasi Talk,2026-07,keyword,AX,자사/일반,,"If You Don’t Know This One Thing, Most AI Transformations Fail | Cho Young-min | AI Agent",노조에서이 영상을 보시면이 문제 정의를 제대로 안 하면 AI 전환에 실패하는 케이스들이 많습니다.,N,2,3,https://www.youtube.com/watch?v=FRhf2cym5ss,"transcripts/2026-07-21/If_You_Don’t_Know_This_One_Thing,_Most_AI_Transformations_Fa__FRhf2cym5ss.md"
LG CNS,2026-07,keyword,AX,자사/일반,,LG CNS | Leading the Future of Chemical Industry with AX (AI Transformation)🌍,"Going beyond digital transformation toward AI transformation, LGCNS is leading the global change.",N,2,1,https://www.youtube.com/watch?v=tdUBajpHiGY,transcripts/2026-07-21/LG_CNS_Leading_the_Future_of_Chemical_Industry_with_AX_(AI_T__tdUBajpHiGY.md
LG CNS,2026-07,keyword,AX,자사/일반,,LG CNS | Leading the Future of Chemical Industry with AX (AI Transformation)🌍,"With deep expertise in the process industry and advanced IT capabilities, LG CNS delivers impactful transformation for enterprise AX using AI to analyze changing technologies and patents guides research.",N,2,2,https://www.youtube.com/watch?v=tdUBajpHiGY,transcripts/2026-07-21/LG_CNS_Leading_the_Future_of_Chemical_Industry_with_AX_(AI_T__tdUBajpHiGY.md
LG CNS,2026-07,keyword,AX,자사/일반,,LG CNS | Leading the Future of Chemical Industry with AX (AI Transformation)🌍,"[Music] AI optimization improves demand forecasting and planning, boosting management efficiency.",N,2,3,https://www.youtube.com/watch?v=tdUBajpHiGY,transcripts/2026-07-21/LG_CNS_Leading_the_Future_of_Chemical_Industry_with_AX_(AI_T__tdUBajpHiGY.md
산업통상부 and 한국산업단지공단,2026-07,keyword,AX,협력/고객사 언급,현대,Opportunity Opens the Moment You Know! Mastering AI Transformation in Manufacturing | TALK-Shooti...,그게 현대차에서는 아틀라스를 28년도에 이제 물류공정에 도입하겠다고 선언을 했고 그게 30년 정도에는 이제 전체 제조공정에 넣겠다고 했는데 그런 것들이 인간의 개입 없이 또는 인간의 어떤 전문적인 어 도메인적인 지식을 활용하지 않고서는 절대 만들어 낼 수 없습니다.,Y,3,1,https://www.youtube.com/watch?v=M3EodRVoq_w,transcripts/2026-07-21/Opportunity_Opens_the_Moment_You_Know!_Mastering_AI_Transfor__M3EodRVoq_w.md
산업통상부 and 한국산업단지공단,2026-07,keyword,AX,자사/일반,,Opportunity Opens the Moment You Know! Mastering AI Transformation in Manufacturing | TALK-Shooti...,그런 사람들이이 AI 시대에 훨씬 더 다양한 직업군에서 활용될 수 있다고 봅니다.,N,2,2,https://www.youtube.com/watch?v=M3EodRVoq_w,transcripts/2026-07-21/Opportunity_Opens_the_Moment_You_Know!_Mastering_AI_Transfor__M3EodRVoq_w.md
산업통상부 and 한국산업단지공단,2026-07,keyword,AX,자사/일반,,Opportunity Opens the Moment You Know! Mastering AI Transformation in Manufacturing | TALK-Shooti...,그런 식의 AI 학습의 빅데이터 이런게 산업 현장에도 뭐 적용이 되거나 도움이 되거나 이런게 있을 수 있을까요?,N,2,3,https://www.youtube.com/watch?v=M3EodRVoq_w,transcripts/2026-07-21/Opportunity_Opens_the_Moment_You_Know!_Mastering_AI_Transfor__M3EodRVoq_w.md
한 걸음 HRD,2026-07,keyword,AX,자사/일반,,SK하이닉스는 이렇게 했다! AI 전환을 이끄는 HR 전략과 조직 혁신 사례,아마 2025년도는 이렇게 공동작업 시나리오를 개발해서 쌓아가고 있는 흐름인 거 같고요.,Y,3,1,https://www.youtube.com/watch?v=LkUqd-3KEdY,transcripts/2026-07-21/SK하이닉스는_이렇게_했다!_AI_전환을_이끄는_HR_전략과_조직_혁신_사례__LkUqd-3KEdY.md
한 걸음 HRD,2026-07,keyword,AX,자사/일반,,SK하이닉스는 이렇게 했다! AI 전환을 이끄는 HR 전략과 조직 혁신 사례,그래서 생성형 AI 기술 도입을 위해서 변화 관리 관점에서 구성원의 AI 리털시 강화 및 AI 비즈 임팩트 과제 추진 방향을 소개해 주셨습니다.,N,2,2,https://www.youtube.com/watch?v=LkUqd-3KEdY,transcripts/2026-07-21/SK하이닉스는_이렇게_했다!_AI_전환을_이끄는_HR_전략과_조직_혁신_사례__LkUqd-3KEdY.md
한 걸음 HRD,2026-07,keyword,AX,자사/일반,,SK하이닉스는 이렇게 했다! AI 전환을 이끄는 HR 전략과 조직 혁신 사례,AI 환경 변화 속에서 HR과 조직의 역할이 확대되었다라고 얘기를 하셨는데요.,N,2,3,https://www.youtube.com/watch?v=LkUqd-3KEdY,transcripts/2026-07-21/SK하이닉스는_이렇게_했다!_AI_전환을_이끄는_HR_전략과_조직_혁신_사례__LkUqd-3KEdY.md
Brave Achievers,2026-07,keyword,AX,자사/일반,,The Birth of AI Agent Experience (AX)—A New Kind of UX,"글로벌 기술 환경이 계속 발전함에 따라, 우리는 프롬프트에 반응하여 텍스트를 생성하는 생성형 AI(LLM)에서 AI 에이전트로의 전환을 경험하고 있습니다.",N,2,1,https://www.youtube.com/watch?v=Kho24ymyTLM,transcripts/2026-07-21/The_Birth_of_AI_Agent_Experience_(AX)—A_New_Kind_of_UX__Kho24ymyTLM.md
Brave Achievers,2026-07,keyword,AX,자사/일반,,The Birth of AI Agent Experience (AX)—A New Kind of UX,"우리는 에이전트가 제품과 자율적으로 상호 작용하고, 플랫폼을 기반으로 구축되며, 온라인과 오프라인 모두에서 콘텐츠 및 경험에 참여하는 시대에 접어들고 있습니다.",N,2,2,https://www.youtube.com/watch?v=Kho24ymyTLM,transcripts/2026-07-21/The_Birth_of_AI_Agent_Experience_(AX)—A_New_Kind_of_UX__Kho24ymyTLM.md
Brave Achievers,2026-07,keyword,AX,자사/일반,,The Birth of AI Agent Experience (AX)—A New Kind of UX,이러한 변화는 디자이너에게 AI 에이전트가 직관적으로 탐색할 수 있는 더욱 적응력 있고 맞춤 설정 가능하며 유연한 시스템을 구축하도록 요구할 것입니다.,N,2,3,https://www.youtube.com/watch?v=Kho24ymyTLM,transcripts/2026-07-21/The_Birth_of_AI_Agent_Experience_(AX)—A_New_Kind_of_UX__Kho24ymyTLM.md
Cole Medin,2026-07,keyword,AX,자사/일반,,The Complete AI Transformation Blueprint - Live Workshop,"Now, for our 1 hour here, it's not like I have a lot of time to like really get into best practices for building your global rules and your skills and commands.",Y,3,1,https://www.youtube.com/watch?v=OcTMwjqje5Q,transcripts/2026-07-21/The_Complete_AI_Transformation_Blueprint_-_Live_Workshop__OcTMwjqje5Q.md
Cole Medin,2026-07,keyword,AX,자사/일반,,The Complete AI Transformation Blueprint - Live Workshop,It's you the AI transformation workshop.,N,2,2,https://www.youtube.com/watch?v=OcTMwjqje5Q,transcripts/2026-07-21/The_Complete_AI_Transformation_Blueprint_-_Live_Workshop__OcTMwjqje5Q.md
Cole Medin,2026-07,keyword,AX,자사/일반,,The Complete AI Transformation Blueprint - Live Workshop,"So, what does it look like to build with AI?",N,2,3,https://www.youtube.com/watch?v=OcTMwjqje5Q,transcripts/2026-07-21/The_Complete_AI_Transformation_Blueprint_-_Live_Workshop__OcTMwjqje5Q.md
메타코드M,2026-07,keyword,AX,자사/일반,,The Secret to Successful AI Transition: A Step-by-Step AX Strategy Guide - [Metacode M],다음은 파트 2의 세 번째 챕터 AI 전환 추진 전략 방법론에 대해서 설명드리도록 하겠습니다.,N,2,1,https://www.youtube.com/watch?v=wdqRyiqH_OI,transcripts/2026-07-21/The_Secret_to_Successful_AI_Transition_A_Step-by-Step_AX_Str__wdqRyiqH_OI.md
메타코드M,2026-07,keyword,AX,자사/일반,,The Secret to Successful AI Transition: A Step-by-Step AX Strategy Guide - [Metacode M],AI 전환의 추신 방법으로는 조직이 AI를 도입하고 확대하는 과정에서 이것을 조금 더 어 체계하고 반극적으로 정립한 부분입니다.,N,2,2,https://www.youtube.com/watch?v=wdqRyiqH_OI,transcripts/2026-07-21/The_Secret_to_Successful_AI_Transition_A_Step-by-Step_AX_Str__wdqRyiqH_OI.md
메타코드M,2026-07,keyword,AX,자사/일반,,The Secret to Successful AI Transition: A Step-by-Step AX Strategy Guide - [Metacode M],그래서 AI 전환의 실전 철학의 핵심은요.,N,2,3,https://www.youtube.com/watch?v=wdqRyiqH_OI,transcripts/2026-07-21/The_Secret_to_Successful_AI_Transition_A_Step-by-Step_AX_Str__wdqRyiqH_OI.md
PromptFluent,2026-07,keyword,unclassified,자사/일반,,Why AI Adoption Is Failing in Enterprises (And What Business Leaders Are Missing),"The future of AI isn't [music] adoption, it's execution.",N,2,1,https://www.youtube.com/watch?v=dDVdVpGqMC8,transcripts/2026-07-21/Why_AI_Adoption_Is_Failing_in_Enterprises_(And_What_Business__dDVdVpGqMC8.md
PromptFluent,2026-07,keyword,unclassified,자사/일반,,Why AI Adoption Is Failing in Enterprises (And What Business Leaders Are Missing),"To learn [music] more about solving this AI debt and building smarter systems, check out promptfluent.com.",N,2,2,https://www.youtube.com/watch?v=dDVdVpGqMC8,transcripts/2026-07-21/Why_AI_Adoption_Is_Failing_in_Enterprises_(And_What_Business__dDVdVpGqMC8.md
빅데이터닥터 BIGDATA DOCTOR,2026-07,keyword,DX,자사/일반,,"Without Palantir, enterprise AI agents fail.",15개국의 약 16개 산업군에 만 명 정도의 고의 임원직들에게 설문 조사를 해 봤더니 거의 한 88% 정도 되는 기업에서 AI를 도입을 하고 있는데 실제적으로 재무적인 성과를 나타내고 있는 경우는 20%가 안 되더라는 이야기.,Y,3,1,https://www.youtube.com/watch?v=fiGxCy6i8hk,"transcripts/2026-07-21/Without_Palantir,_enterprise_AI_agents_fail.__fiGxCy6i8hk.md"
빅데이터닥터 BIGDATA DOCTOR,2026-07,keyword,DX,자사/일반,,"Without Palantir, enterprise AI agents fail.",그러니까 그 AI의 도입을 88%나 했는데 실제적인 성과는 20%도 안 난 상황으로 이어지게 된다는 거죠.,Y,3,2,https://www.youtube.com/watch?v=fiGxCy6i8hk,"transcripts/2026-07-21/Without_Palantir,_enterprise_AI_agents_fail.__fiGxCy6i8hk.md"
빅데이터닥터 BIGDATA DOCTOR,2026-07,keyword,DX,자사/일반,,"Without Palantir, enterprise AI agents fail.",기업 내 AI 에이전트를 도입하기 위해서 구축하기 위해서 밸런티웨어의 온톨로지가 굉장히 중요하다고 이야기를 하죠.,N,2,3,https://www.youtube.com/watch?v=fiGxCy6i8hk,"transcripts/2026-07-21/Without_Palantir,_enterprise_AI_agents_fail.__fiGxCy6i8hk.md"
삼성SDS,2026-07,keyword,AX,자사/일반,,"[2024 AI 트렌드 총정리 2] AI 도입시 기업이 반드시 고려해야 할 것 │ AI 시대, 기업들의 성공 전략",우리도 채치 피티 같은 거 만들어 보자 언어 모델 만들자 그럼 이제 거기서부터 사단이 나는 겁니다 이게 한두 푼으로내는게 아니잖아요 거의 뭐 채치 PT 만 오픈해야하는 거의 수전을 쓰고 있는데 후 사이트에서 결제를 딱 하려고 하는데 새벽 3시에 전화가 오는 거예요 그래서 아오 왜 그러세요 막 이랬더니 혹시 지금 결제하신 거 고객님이 하신 거예요 이러는 거예요 그래서네 그러면 이렇게 데이터 분석 얘기도 나왔으니까 얼마 전까지 DX 아는 용어가 좀 많이 유행을 했었는데 그거 AI 또 이렇게 대두가 되면서 ax 아는 용어가 또 나왔어요 그래서이 용어가 어떤 건지 여기에 대해서 좀 설명 부탁드려도 되네요네 뭐 말씀하신 것처럼 DX 혹은 DT고 불렀었던게 디지털 트랜스포메이션 그러니까 디지털로의 전환이 아아 AI 혹…,N,2,1,https://www.youtube.com/watch?v=_FfB0sPuhr8,"transcripts/2026-07-21/[2024_AI_트렌드_총정리_2]_AI_도입시_기업이_반드시_고려해야_할_것_│_AI_시대,_기업들의_성공___FfB0sPuhr8.md"
IT조선,2026-07,keyword,AX,자사/일반,,[AI&CLOUD2026] 세션1 AI-Native 기업으로의 전환 방안 및 사례 / 삼성SDS / 신계영 AX센터 AI사업팀 부사장,"음 음, 이거는 우리 은행 사례이고 우리 은행은 작년에 컨설팅 회사와 어, 1년에 걸쳐서 어, ax로 우리는 전환하겠다.",Y,3,1,https://www.youtube.com/watch?v=mHbsngztlHw,transcripts/2026-07-21/[AI&CLOUD2026]_세션1_AI-Native_기업으로의_전환_방안_및_사례_삼성SDS_신계영_AX센터__mHbsngztlHw.md
IT조선,2026-07,keyword,AX,자사/일반,,[AI&CLOUD2026] 세션1 AI-Native 기업으로의 전환 방안 및 사례 / 삼성SDS / 신계영 AX센터 AI사업팀 부사장,"그래서 저희가 23년부터 준비해서 24년에 이제 시스템을 오픈해 나가면서요 밑에 보시면 24, 25, 26, 27 이렇게 진행을 지금 로드맵들을 저희는 하고 있는데 어 24년에 진행했던 것은 상담원을 대체는 어렵다.",Y,3,2,https://www.youtube.com/watch?v=mHbsngztlHw,transcripts/2026-07-21/[AI&CLOUD2026]_세션1_AI-Native_기업으로의_전환_방안_및_사례_삼성SDS_신계영_AX센터__mHbsngztlHw.md
IT조선,2026-07,keyword,AX,자사/일반,,[AI&CLOUD2026] 세션1 AI-Native 기업으로의 전환 방안 및 사례 / 삼성SDS / 신계영 AX센터 AI사업팀 부사장,"어, 오늘 제가 준비한 발표 주제는 AI 네이티브 기업으로의 어, 전환 방안하고 어, 각 기업에서 어떤 사례들을 가지고 진행하시는지에 이제 좀 설명드릴 건데요.",N,2,3,https://www.youtube.com/watch?v=mHbsngztlHw,transcripts/2026-07-21/[AI&CLOUD2026]_세션1_AI-Native_기업으로의_전환_방안_및_사례_삼성SDS_신계영_AX센터__mHbsngztlHw.md
AWS Developers,2026-07-14,channel,AX,협력/고객사 언급,Amazon,Deploying Agents to the Cloud,"You can package a Strand's agent into a container and run it anywhere, but in this video, we'll deploy it to AWS using Amazon Bedrock Agent Core.",N,2,1,https://www.youtube.com/watch?v=S_ZRZFDJ6wE,transcripts/channels/AWS_Developers/Deploying_Agents_to_the_Cloud__S_ZRZFDJ6wE.md
AWS Developers,2026-07-14,channel,AX,자사/일반,,Deploying Agents to the Cloud,"Agent Core is a collection of components for building, deploying, and operating AI agents in production.",N,2,2,https://www.youtube.com/watch?v=S_ZRZFDJ6wE,transcripts/channels/AWS_Developers/Deploying_Agents_to_the_Cloud__S_ZRZFDJ6wE.md
AWS Developers,2026-07-14,channel,AX,자사/일반,,Deploying Agents to the Cloud,Let's deploy the same customer service agent we've been building throughout the course.,N,2,3,https://www.youtube.com/watch?v=S_ZRZFDJ6wE,transcripts/channels/AWS_Developers/Deploying_Agents_to_the_Cloud__S_ZRZFDJ6wE.md
Accenture,2026-04-15,channel,unclassified,자사/일반,,Delivering value with and for people in the age of AI,"예를 들어, 인재 혁신 기업의 93%가 AI 도입을 지원하기 위해 인재 전략을 적극적으로 재구성했습니다.",Y,4,1,https://www.youtube.com/watch?v=F1amDOMZVZY,transcripts/channels/Accenture/Delivering_value_with_and_for_people_in_the_age_of_AI__F1amDOMZVZY.md
Accenture,2026-04-15,channel,unclassified,자사/일반,,Delivering value with and for people in the age of AI,"[음악] 인재 재창조 기업은 필요에 따라 역할이나 팀을 전환할 수 있는 민첩한 인력을 보유할 가능성이 4.4배 더 높으며 , 이는 훨씬 더 큰 회복력을 만들어냅니다 .",Y,3,2,https://www.youtube.com/watch?v=F1amDOMZVZY,transcripts/channels/Accenture/Delivering_value_with_and_for_people_in_the_age_of_AI__F1amDOMZVZY.md
Accenture,2026-04-15,channel,unclassified,자사/일반,,Delivering value with and for people in the age of AI,"저희 연구 결과에 따르면, 인재 혁신을 주도하는 기업의 96%가 기술 및 AI에 대한 비전과 완벽하게 통합된 인재 전략을 보유하고 있는 반면, 그렇지 않은 기업은 16%에 불과했습니다.",Y,3,3,https://www.youtube.com/watch?v=F1amDOMZVZY,transcripts/channels/Accenture/Delivering_value_with_and_for_people_in_the_age_of_AI__F1amDOMZVZY.md
Accenture,2026-06-30,channel,unclassified,자사/일반,,"Reinventing the athlete experience through technology, data & AI | Accenture",기술과 인공지능을 활용하여 데이터를 실질적인 이점으로 전환합니다.,N,2,1,https://www.youtube.com/watch?v=K5oFxN7D0fI,"transcripts/channels/Accenture/Reinventing_the_athlete_experience_through_technology,_data___K5oFxN7D0fI.md"
Accenture,2026-04-21,channel,AX,자사/일반,,The Skills Mismatch Economy | How AI is reshaping skill demand,다행히도 저는 지난 20년 동안 약 30명 규모의 팀을 구축했습니다 .,Y,3,1,https://www.youtube.com/watch?v=HmuEoDwZnqg,transcripts/channels/Accenture/The_Skills_Mismatch_Economy_How_AI_is_reshaping_skill_demand__HmuEoDwZnqg.md
Accenture,2026-04-21,channel,AX,협력/고객사 언급,액센추어,The Skills Mismatch Economy | How AI is reshaping skill demand,"바로 이러한 이유로 저희는 액센추어와 파트너십을 맺었으며, 동시에 와튼이 지난 20년간 구축해 온 목표이기도 합니다.",Y,3,2,https://www.youtube.com/watch?v=HmuEoDwZnqg,transcripts/channels/Accenture/The_Skills_Mismatch_Economy_How_AI_is_reshaping_skill_demand__HmuEoDwZnqg.md
Accenture,2026-04-21,channel,AX,자사/일반,,The Skills Mismatch Economy | How AI is reshaping skill demand,전 세계 어느 경영대학원도 이러한 유형의 전문적이고 비즈니스적인 문제에 대해 빅데이터와 머신러닝이라는 관점을 적용해 접근하지 못했습니다.,N,2,3,https://www.youtube.com/watch?v=HmuEoDwZnqg,transcripts/channels/Accenture/The_Skills_Mismatch_Economy_How_AI_is_reshaping_skill_demand__HmuEoDwZnqg.md
Accenture,2026-07-08,channel,AX,자사/일반,,Why prompt injection is the #1 AI security risk | TQ Tech Talks,하지만 탈옥이란 인공지능이 만들어 놓은 규칙과 안전장치를 무시하고 인공지능을 괴롭히려는 시도입니다 .,N,2,1,https://www.youtube.com/watch?v=O0XheeCS3CI,transcripts/channels/Accenture/Why_prompt_injection_is_the_#1_AI_security_risk_TQ_Tech_Talk__O0XheeCS3CI.md
